model,cv_f1_macro_mean,test_accuracy,test_f1_macro,test_recall_macro
XGBoost,0.3412453726093569,0.7272727272727273,0.3821067821067821,0.37792929292929295
CatBoost,0.2941921921574634,0.7619047619047619,0.32824523147103796,0.3517676767676768
RandomForest,0.29280255823892104,0.7532467532467533,0.307020264681555,0.33876262626262627
